#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1743272149892489984,0.0,0.0,0.0,0.210352644324303,9.77183628082275,-0.4955651153383221
1743272149897489920,0.00106529693584889,-0.00532648479565978,0.00213059387169778,0.210352644324303,9.77183628082275,-0.4894748918939669
1743272149902489856,-0.00106529693584889,-0.00639178184792399,-0.00213059387169778,0.210352644324303,9.77183628082275,-0.48338495884744903
1743272149907490048,0.0,-0.00532648479565978,-0.00106529693584889,0.210352644324303,9.772615724098706,-0.478074163198471
1743272149912489984,0.00639178184792399,-0.00426118774339557,-0.003195890923962,0.210352644324303,9.778705778100221,-0.478074163198471
1743272149917499904,0.00213059387169778,-0.00745707890018821,-0.00426118774339557,0.210352644324303,9.784808319456754,-0.478074163198471
1743272149922499840,0.00213059387169778,-0.00852237548679113,-0.00639178184792399,0.210352644324303,9.790898373458269,-0.478074163198471
1743272149927500032,-0.003195890923962,-0.00426118774339557,-0.00426118774339557,0.210352644324303,9.79698862630275,-0.4841034030969882
1743272149932499968,-0.00106529693584889,-0.00106529693584889,-0.00532648479565978,0.210352644324303,9.803078587821934,-0.4901933361435061
1743272149937499904,-0.003195890923962,-0.00213059387169778,-0.00213059387169778,0.210352644324303,9.809168839740314,-0.49628355958786124
1743272149942500096,-0.003195890923962,-0.00639178184792399,-0.00426118774339557,0.210352644324303,9.799728966280647,-0.4920204407234669
1743272149947510016,0.003195890923962,-0.00426118774339557,-0.00106529693584889,0.210352644324303,9.787524464374792,-0.48591821830066295
1743272149952510208,0.00106529693584889,-0.00213059387169778,-0.00532648479565978,0.210352644324303,9.77534377556455,-0.4798279023699988
1743272149957509888,0.00106529693584889,-0.00426118774339557,-0.00639178184792399,0.210352644324303,9.776172521603089,-0.4824103837053903
1743272149962510080,-0.00213059387169778,-0.00213059387169778,-0.00213059387169778,0.210352644324303,9.782262773521467,-0.4885006071497455
1743272149967510016,-0.00106529693584889,-0.00213059387169778,-0.00532648479565978,0.210352644324303,9.78835273504065,-0.49459054019626336
1743272149972510208,-0.00532648479565978,-0.003195890923962,-0.00426118774339557,0.210352644324303,9.79095935821533,-0.497197151184082
1743272149977519872,0.00106529693584889,-0.003195890923962,-0.00745707890018821,0.210352644324303,9.79095935821533,-0.497197151184082
1743272149982520064,0.00213059387169778,-0.00745707890018821,-0.00426118774339557,0.210352644324303,9.79095935821533,-0.497197151184082
1743272149987520000,0.00213059387169778,-0.00639178184792399,-0.00639178184792399,0.210352644324303,9.79095935821533,-0.4945420034368923
1743272149992520192,-0.00213059387169778,-0.00532648479565978,-0.00213059387169778,0.210352644324303,9.79095935821533,-0.48845168750622814
1743272149997519872,0.00106529693584889,-0.00745707890018821,-0.00532648479565978,0.210352644324303,9.79095935821533,-0.48236166197781133
1743272150002520064,0.003195890923962,-0.00213059387169778,-0.00532648479565978,0.21215543128884193,9.79095935821533,-0.4798769529725773
1743272150007529984,-0.00106529693584889,-0.003195890923962,-0.00532648479565978,0.2182575515346306,9.79095935821533,-0.48597908272826273
1743272150012530176,0.00106529693584889,-0.00426118774339557,-0.00745707890018821,0.22434776548764446,9.79095935821533,-0.49206930617261796
1743272150017529856,0.00213059387169778,-0.00426118774339557,-0.00106529693584889,0.22755139946598105,9.791921465358863,-0.4962350485387315
1743272150022530048,0.00213059387169778,-0.0106529695913196,-0.003195890923962,0.2153707818418808,9.798011809763983,-0.49014473260806735
1743272150027529984,0.003195890923962,-0.00639178184792399,0.0,0.2031907450215963,9.8041018637655,-0.48405470707965054
1743272150032530176,-0.00106529693584889,-0.003195890923962,-0.00213059387169778,0.19133944153682528,9.80986289381646,-0.478074163198471
1743272150037539840,-0.00213059387169778,-0.003195890923962,-0.00532648479565978,0.1974415665375625,9.797658577245707,-0.478074163198471
