#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1743286183407670016,-0.00520086986944079,4.82044697491801e-06,-0.00522775994613767,-0.09790396780275104,9.796137561074165,-0.4975520006891602
1743286183413389824,0.00527110556140542,4.82044697491801e-06,-0.00522775994613767,-0.09156701101414687,9.757787520409721,-0.4866594516966858
1743286183419140096,0.0157430805265903,4.82044697491801e-06,-0.0034824307076633,-0.08519650858292036,9.719234467984018,-0.4757092413427823
1743286183424930048,0.0227243974804878,4.82044697491801e-06,8.22767106001265e-06,-0.080784432785405,9.692950727186561,-0.47603673684148445
1743286183430740224,0.0401776917278767,4.82044697491801e-06,8.22767106001265e-06,-0.07754384870169335,9.674005368713075,-0.4830937428469237
1743286183436579840,0.0384323634207249,0.00349547900259495,8.22767106001265e-06,-0.07428664214637992,9.654962830633973,-0.4901869475371954
1743286183442460160,0.034941703081131,-0.00174050882924348,0.00175355689134449,-0.07398658427760886,9.653972555306945,-0.505316068631239
1743286183448359936,0.0244697276502848,4.82044697491801e-06,8.22767106001265e-06,-0.07704237505225323,9.6734647446026,-0.5294942745472174
1743286183454289920,3.51176349795423e-05,0.00175014964770526,-0.00173710158560425,-0.08011372509456127,9.693056182902186,-0.5537955894078904
1743286183460259840,-0.0209088325500488,0.00524080824106932,-0.0034824307076633,-0.0861613347255149,9.700716597909457,-0.5649988909551963
1743286183466249984,-0.0366167947649956,0.00698613747954369,0.00175355689134449,-0.09873139621199752,9.681863191300193,-0.5470628750648086
1743286183472270080,-0.0523247607052326,0.00175014964770526,0.00524421548470855,-0.11136449812784237,9.662915232500483,-0.5290369078130855
1743286183478329856,-0.0558154173195362,0.00524080824106932,0.00524421548470855,-0.12409319265195053,9.657401120832043,-0.5113171760574988
1743286183484410112,-0.0418527834117413,0.00698613747954369,8.22767106001265e-06,-0.1369310982912833,9.726927098444467,-0.49589335682879565
1743286183490530048,-0.0243994910269976,0.00524080824106932,-0.00173710158560425,-0.14985307303271667,9.796908367338407,-0.48036853462733764
1743286183496669952,3.51176349795423e-05,0.00349547900259495,8.22767106001265e-06,-0.16281733402909881,9.867118645020657,-0.4647929085353922
1743286183502070016,0.0279603861272335,4.82044697491801e-06,-0.00173710158560425,-0.18616220837408873,9.797159844299365,-0.491266498225841
1743286183507920128,0.0489043369889259,4.82044697491801e-06,8.22767106001265e-06,-0.21152547326093774,9.720571118274574,-0.5201903686172578
1743286183513780224,0.0611216425895691,4.82044697491801e-06,0.00175355689134449,-0.23693215246596938,9.64385129527407,-0.5491637480177808
1743286183519660032,0.0646122992038727,4.82044697491801e-06,0.00349888624623418,-0.24626757529879634,9.663710359899934,-0.5839134764346248
1743286183525559808,0.0489043369889259,4.82044697491801e-06,0.00524421548470855,-0.2524718833204171,9.702594108676198,-0.6198931918177527
1743286183531470080,0.0244697276502848,4.82044697491801e-06,8.22767106001265e-06,-0.258686972286228,9.741545423976241,-0.6559354275177591
1743286183537400064,-0.0017102116253227,0.00175014964770526,-0.00173710158560425,-0.25637563355914117,9.713094593599452,-0.6566024294808424
1743286183543340032,-0.0296354778110981,4.82044697491801e-06,8.22767106001265e-06,-0.2499925699731394,9.652455458913499,-0.6403772575848509
1743286183549299968,-0.0505794286727905,0.00175014964770526,8.22767106001265e-06,-0.2435879852608141,9.59161187342424,-0.6240973809269077
